"individualAdultID","lightWavelength","behaviorType","day","Value"
"15","365nm","Time_In_Center_Zone",6,29.07
"15","365nm","Time_In_Center_Zone",7,57.14
"15","365nm","Time_In_Center_Zone",8,37.47
"15","365nm","Time_In_Center_Zone",9,7.59
"15","365nm","Time_In_Center_Zone",10,60.04
"1","420nm","Time_In_Thigmotaxis_Zone",1,204.84
"1","420nm","Time_In_Thigmotaxis_Zone",2,338.2
"1","420nm","Time_In_Thigmotaxis_Zone",3,290.12
"1","420nm","Time_In_Thigmotaxis_Zone",4,323.56
"1","420nm","Time_In_Thigmotaxis_Zone",5,518.52
"1","420nm","Time_In_Thigmotaxis_Zone",6,490.04
"1","420nm","Time_In_Thigmotaxis_Zone",7,486.32
"1","420nm","Time_In_Thigmotaxis_Zone",8,516.48
"1","420nm","Time_In_Thigmotaxis_Zone",9,495.92
"1","420nm","Time_In_Thigmotaxis_Zone",10,458.46
"2","420nm","Time_In_Thigmotaxis_Zone",1,259.12
"2","420nm","Time_In_Thigmotaxis_Zone",2,352.44
"2","420nm","Time_In_Thigmotaxis_Zone",3,403.48
"2","420nm","Time_In_Thigmotaxis_Zone",4,382.76
"2","420nm","Time_In_Thigmotaxis_Zone",5,518.84
"2","420nm","Time_In_Thigmotaxis_Zone",6,492.84
"2","420nm","Time_In_Thigmotaxis_Zone",7,511
"2","420nm","Time_In_Thigmotaxis_Zone",8,421.84
"2","420nm","Time_In_Thigmotaxis_Zone",9,516.92
"2","420nm","Time_In_Thigmotaxis_Zone",10,411.32
"3","420nm","Time_In_Thigmotaxis_Zone",1,328.28
"3","420nm","Time_In_Thigmotaxis_Zone",2,384.26
"3","420nm","Time_In_Thigmotaxis_Zone",3,240.12
"3","420nm","Time_In_Thigmotaxis_Zone",4,375.56
"3","420nm","Time_In_Thigmotaxis_Zone",5,474.2
"3","420nm","Time_In_Thigmotaxis_Zone",6,476.84
"3","420nm","Time_In_Thigmotaxis_Zone",7,479
"3","420nm","Time_In_Thigmotaxis_Zone",8,460.4
"3","420nm","Time_In_Thigmotaxis_Zone",9,561.56
"3","420nm","Time_In_Thigmotaxis_Zone",10,410.52
"4","420nm","Time_In_Thigmotaxis_Zone",1,331.84
"4","420nm","Time_In_Thigmotaxis_Zone",2,375.72
"4","420nm","Time_In_Thigmotaxis_Zone",3,212.32
"4","420nm","Time_In_Thigmotaxis_Zone",4,312.68
"4","420nm","Time_In_Thigmotaxis_Zone",5,518.84
"4","420nm","Time_In_Thigmotaxis_Zone",6,490.56
"4","420nm","Time_In_Thigmotaxis_Zone",7,522.44
"4","420nm","Time_In_Thigmotaxis_Zone",8,464.56
"4","420nm","Time_In_Thigmotaxis_Zone",9,482.88
"4","420nm","Time_In_Thigmotaxis_Zone",10,415.62
"5","420nm","Time_In_Thigmotaxis_Zone",1,234.04
"5","420nm","Time_In_Thigmotaxis_Zone",2,298.84
"5","420nm","Time_In_Thigmotaxis_Zone",3,371.54
"5","420nm","Time_In_Thigmotaxis_Zone",4,383.44
"5","420nm","Time_In_Thigmotaxis_Zone",5,510.22
"5","420nm","Time_In_Thigmotaxis_Zone",6,510.21
"5","420nm","Time_In_Thigmotaxis_Zone",7,506.92
"5","420nm","Time_In_Thigmotaxis_Zone",8,535.84
"5","420nm","Time_In_Thigmotaxis_Zone",9,464.48
