study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-5,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,0.006071,0.066004,11,7,24.30918,24.4572,7.157445,15.60014,0,0.5,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,anxiety,thigmotaxis,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-6,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.26818,0.030906,9,12,24.22749,18.52851,6.994395,9.443074,0,0.5,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,anxiety,thigmotaxis,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-3,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-1.63946,0.101732,11,11,226.8455,44.02727,117.3774,40.62256,0,5000,1680,white led,12,24,s,s,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,boldness,emergence time,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-4,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-1.41292,0.255659,9,12,151.1333,36.79074,110.3329,56.48671,0,5000,1680,white led,12,24,s,s,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,boldness,emergence time,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-5,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.40983,0.130648,11,7,226.8455,150.5714,117.3774,129.8901,0,0.5,1680,white led,12,24,s,s,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,boldness,emergence time,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-6,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.29573,0.177877,9,12,151.1333,112.4417,110.3329,134.1744,0,0.5,1680,white led,12,24,s,s,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,boldness,emergence time,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
8,journalArticle,2024,"Tarena, Fabio; Comoglio, Claudio; Candiotto, Alessandro; Nyqvist, Daniel",Artificial light at night affects fish passage rates in two small‐sized Cypriniformes fish,WOS,Ecology of Freshwater Fish,10.1111/eff.12766,"An increasing presence of instream structures such as weirs, dams, culverts and reservoirs degrades habitats, fragments rivers and blocks fish movements worldwide. Longitudinal river movements are fundamental for many fish species and the most widespread solution to restore longitudinal connectivity is the implementation of different fish passage solutions. Fishway functionality, however, is highly variable. To design a functional fishway, several aspects of the fish's interaction with its environment need to be taken into consideration. Artificial light at night (ALAN) can affect a range of different behaviours in fish, from activity and movement to feeding and predator–prey relationships. In a fish passage setting, fish are exposed to artificial light at night (ALAN) in the form of light pollution, but, sometimes, also as part of the fish passage solution. Although likely highly species specific, the effect of artificial light on fish passage behaviour has been little explored. Here we study the passage behaviour of two small-sized fish species, European gudgeon (Gobio gobio) and Italian riffle dace (Telestes muticellus), over a scaled deep side notch weir in a hydraulic flume in three different light conditions: daylight, darkness and ALAN. Although both species passed the obstacle at high efficiencies under all light conditions, their passage behaviours were influenced by light, particularly at the higher levels. While ALAN reduced passage success and resulted in delayed passage for gudgeon, riffle dace passed at higher rates under the artificial light compared to night treatment. Both results indicate a risk of negative effects from ALAN on passage performance at real fishways—or movement rates in lit areas of natural streams—for both species. Independent of light conditions, individuals of both species also passed faster after repeated trials, demonstrating learning in a fish passage context.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,journalArticle,2021,"Fobert, Emily K.; Schubert, Kristen P.; Burke Da Silva, Karen",The influence of spectral composition of artificial light at night on clownfish reproductive success,WOS,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2021.151559,"Artificial light at night (ALAN) is increasingly recognised as a major threat to conservation, causing physiological and behavioural impacts on species adapted to a predictable day-night cycle, including the disruption of reproductive processes. This study investigates the influence of spectral composition of ALAN on Amphiprion ocellaris reproductive success. We compared spawning frequency, clutch size, embryo quality and hatching success of A. ocellaris exposed to ALAN with warm-white and cool-white spectra to fish held in control (12 h day: 12 h night) conditions. The presence of ALAN, regardless of light colour treatment, increased the interval (number of days) between spawning events, and eggs developing under ALAN were smaller than eggs developing under control conditions. Hatching success was influenced by both the presence of ALAN and spectral composition of the light, with fewer embryos hatching under cool-white light compared to warm-white light treatments. As light pollution continues to spread, more research is needed to understand the extent of the impacts of ALAN on marine organisms and to identify effective management strategies.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,journalArticle,2017,"Bolton, D.; Mayer-Pinto, M.; Clark, G.F.; Dafforn, K.A.; Brassil, W.A.; Becker, A.; Johnston, E.L.",Coastal urban lighting has ecological consequences for multiple trophic levels under the sea,WOS,Science of The Total Environment,10.1016/j.scitotenv.2016.10.037,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,journalArticle,2026,"Zhang, Yuhan; Cao, Miao; Wang, Tongyue; Song, Yiqun; Wei, Sheng; Guo, Xueping; Xu, Ting; Yin, Daqiang",Artificial light at night induces opposing neurotoxic effects in adult and larval zebrafish,WOS,Aquatic Toxicology,10.1016/j.aquatox.2026.107734,"Artificial light at night (ALAN) has become a widespread environmental pollutant, altering natural light-dark cycles and posing significant risks to aquatic ecosystems. Fish are particularly sensitive to ALAN. While most existing studies have focused on the effects of ALAN on adult fish, its impacts during early developmental stages remain largely unexplored. In this study, we examined the stage-specific neurobehavioral and molecular responses of both adult and larval zebrafish exposed to ALAN. Based on our field research of ALAN, we exposed zebrafish to different wavelengths: red (628 nm), green (519 nm), and blue (465 nm) under 0.26 μmol⋅m⁻²⋅s⁻¹ photon flux densities. Larval zebrafish were exposed for 6 days, while adult zebrafish were exposed for 14 days. Results showed that adult zebrafish exhibited significant anxiety-like behaviors when exposed to red and blue ALAN, whereas larvae showed reduced anxiety-like responses under the same conditions. Consistent with these behavioral patterns, neurochemical assays further demonstrated that catecholaminergic pathways were activated in adults but suppressed in larvae under red and blue ALAN exposure. Green ALAN caused minimal changes in both stages. These findings highlight the stage-specific neurotoxic risks of ALAN and provide mechanistic evidence linking catecholaminergic dysregulation to altered anxiety-like behaviors. They also offer significant mechanistic insights into how different colors of ALAN affected neural regulation in fish. Overall, this study provides guidance for ecological risk assessments of ALAN and highlights the importance of considering light spectrum and life stage in the development of aquatic lighting management strategies.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,journalArticle,2019,"Pulgar, José; Zeballos, Danae; Vargas, Juan; Aldana, Marcela; Manriquez, Patricio H.; Manriquez, Karen; Quijón, Pedro A.; Widdicombe, Stephen; Anguita, Cristobal; Quintanilla, Diego; Duarte, Cristian","Endogenous cycles, activity patterns and energy expenditure of an intertidal fish is modified by artificial light pollution at night (ALAN)",WOS,Environmental Pollution,10.1016/j.envpol.2018.10.063,"The increase of global light emissions in recent years has highlighted the need for urgent evaluation of their impacts on the behaviour, ecology and physiology of organisms. Numerous species exhibit daily cycles or strong scototaxic behaviours that could potentially be inﬂuenced if natural lighting conditions or cycles are disrupted. Artiﬁcial Light Pollution at Night (ALAN) stands for situations where artiﬁcial light alters natural light-dark cycles, as well as light intensities and wavelengths. ALAN is increasingly recognized as a potential threat to biodiversity, mainly because a growing number of studies are demonstrating its inﬂuence on animal behaviour, migration, reproduction and biological interactions. Most of these studies have focused on terrestrial organisms and ecosystems with studies on the effects of ALAN on marine ecosystems being more occasional. However, with the increasing human use and development of the coastal zone, organisms that inhabit shallow coastal or intertidal systems could be at increasing risk from ALAN. In this study we measured the levels of artiﬁcial light intensity in the ﬁeld and used these levels to conduct experimental trials to determine the impact of ALAN on an intertidal ﬁsh. Speciﬁcally, we measured ALAN effects on physiological performance (oxygen consumption) and behaviour (activity patterns) of “Baunco” the rockﬁsh Girella laevifrons, one of the most abundant and ecologically important intertidal ﬁsh in the Southeastern Paciﬁc littoral. Our results indicated that individuals exposed to ALAN exhibited increased oxygen consumption and activity when compared with control animals. Moreover, those ﬁsh exposed to ALAN stopped displaying the natural (circatidal and circadian) activity cycles that were observed in control ﬁsh throughout the experiment. These changes in physiological function and behaviour could have serious implications for the long-term sustainability of ﬁsh populations and indirect impacts on intertidal communities in areas affected by ALAN.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
